cookie=0x0, duration=20.488s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:79:a2:f1:99:0a,dl_dst=d2:b1:ff:0d:61:64,nw_src=10.0.0.2,nw_dst=10.0.0.7 actions=output:4
cookie=0x0, duration=20.485s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=d2:b1:ff:0d:61:64,dl_dst=c6:79:a2:f1:99:0a,nw_src=10.0.0.7,nw_dst=10.0.0.2 actions=output:2
cookie=0x0, duration=20.470s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=36:a9:ff:3b:66:da,dl_dst=2e:3a:80:6f:85:4a,nw_src=10.0.0.6,nw_dst=10.0.0.4 actions=output:3
cookie=0x0, duration=20.467s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=2e:3a:80:6f:85:4a,dl_dst=36:a9:ff:3b:66:da,nw_src=10.0.0.4,nw_dst=10.0.0.6 actions=output:4
cookie=0x0, duration=20.456s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=36:a9:ff:3b:66:da,dl_dst=7e:0c:49:8f:61:3a,nw_src=10.0.0.6,nw_dst=10.0.0.3 actions=output:2
cookie=0x0, duration=20.453s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=7e:0c:49:8f:61:3a,dl_dst=36:a9:ff:3b:66:da,nw_src=10.0.0.3,nw_dst=10.0.0.6 actions=output:4
cookie=0x0, duration=20.442s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=36:a9:ff:3b:66:da,dl_dst=ea:6c:ce:ad:29:a8,nw_src=10.0.0.6,nw_dst=10.0.0.9 actions=output:5
cookie=0x0, duration=20.439s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=ea:6c:ce:ad:29:a8,dl_dst=36:a9:ff:3b:66:da,nw_src=10.0.0.9,nw_dst=10.0.0.6 actions=output:4
cookie=0x0, duration=20.429s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=36:a9:ff:3b:66:da,dl_dst=c6:05:d7:37:55:5a,nw_src=10.0.0.6,nw_dst=10.0.0.5 actions=output:3
cookie=0x0, duration=20.425s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=c6:05:d7:37:55:5a,dl_dst=36:a9:ff:3b:66:da,nw_src=10.0.0.5,nw_dst=10.0.0.6 actions=output:4
cookie=0x0, duration=20.402s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=2e:3a:80:6f:85:4a,dl_dst=7e:0c:49:8f:61:3a,nw_src=10.0.0.4,nw_dst=10.0.0.3 actions=output:2
cookie=0x0, duration=20.398s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=7e:0c:49:8f:61:3a,dl_dst=2e:3a:80:6f:85:4a,nw_src=10.0.0.3,nw_dst=10.0.0.4 actions=output:3
cookie=0x0, duration=20.387s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=2e:3a:80:6f:85:4a,dl_dst=ea:6c:ce:ad:29:a8,nw_src=10.0.0.4,nw_dst=10.0.0.9 actions=output:5
cookie=0x0, duration=20.383s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=ea:6c:ce:ad:29:a8,dl_dst=2e:3a:80:6f:85:4a,nw_src=10.0.0.9,nw_dst=10.0.0.4 actions=output:3
cookie=0x0, duration=20.367s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=2e:3a:80:6f:85:4a,dl_dst=d2:b1:ff:0d:61:64,nw_src=10.0.0.4,nw_dst=10.0.0.7 actions=output:4
cookie=0x0, duration=20.363s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=d2:b1:ff:0d:61:64,dl_dst=2e:3a:80:6f:85:4a,nw_src=10.0.0.7,nw_dst=10.0.0.4 actions=output:3
cookie=0x0, duration=20.344s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=7e:0c:49:8f:61:3a,dl_dst=ea:6c:ce:ad:29:a8,nw_src=10.0.0.3,nw_dst=10.0.0.9 actions=output:5
cookie=0x0, duration=20.341s, table=0, n_packets=1, n_bytes=98, idle_age=20, priority=1,ip,dl_src=ea:6c:ce:ad:29:a8,dl_dst=7e:0c:49:8f:61:3a,nw_src=10.0.0.9,nw_dst=10.0.0.3 actions=output:2
